GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0098807,GO:0098807,5/6228,10/100553,0.5,8.072655748233784,5.747286561851014,1.7615555067749004e-4,0.0016567733257684624,0.0011892897432309673,TraesCS6A03G0018400.1/TraesCS6B03G0033400.1/TraesCS6D03G0025700.1/TraesCS7A03G0041900.1/TraesCS7D03G0036600.1,5,Down,chloroplast thylakoid membrane protein complex,cellular_component,CC,SN15_vs_Tween
GO:0044238,GO:0044238,4/6228,6/100553,0.6666666666666666,10.763540997645043,6.1454639084432685,1.9927267943626678e-4,0.001832941933627532,0.0013157497212782903,TraesCS4A03G0798600.2/TraesCS4A03G0798600.1/TraesCS5B03G1353100.2/TraesCS5B03G1353100.1,4,Down,primary metabolic process,biological_process,BP,SN15_vs_Tween
GO:0052662,GO:0052662,4/6228,6/100553,0.6666666666666666,10.763540997645043,6.1454639084432685,1.9927267943626678e-4,0.001832941933627532,0.0013157497212782903,TraesCS2B03G0871900.1/TraesCS2B03G0871900.3/TraesCS2D03G0723400.1/TraesCS2D03G0723400.2,4,Down,zeaxanthin epoxidase activity,molecular_function,MF,SN15_vs_Tween
GO:0008171,GO:0008171,28/6228,217/100553,0.12903225806451613,2.083265999544202,4.1048079143543985,1.9992675536358967e-4,0.001832941933627532,0.0013157497212782903,TraesCS1A03G0829600.1/TraesCS1A03G0830000.1/TraesCS1A03G0830000.2/TraesCS1A03G0830300.1/TraesCS1B03G0042200.1/TraesCS1B03G0042200.2/TraesCS1B03G0956400.1/TraesCS1D03G0798300.1/TraesCS1D03G0798500.1/TraesCS1D03G0798700.1/TraesCS2A03G0591800.1/TraesCS2A03G0591800.2/TraesCS2A03G0591800.3/TraesCS3B03G1510700.1/TraesCS3D03G0290900.1/TraesCS4A03G0633100.1/TraesCS4A03G0633100.2/TraesCS4A03G0954500.1/TraesCS4B03G0168000.1/TraesCS4D03G0139800.1/TraesCS6B03G1201400.1/TraesCS6D03G0861300.1/TraesCS7A03G0202000.1/TraesCS7A03G1309800.2/TraesCS7A03G1309800.1/TraesCS7A03G1309800.3/TraesCS7B03G1231200.1/TraesCS7D03G0182400.1,28,Down,O-methyltransferase activity,molecular_function,MF,SN15_vs_Tween
GO:0000293,GO:0000293,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS2A03G0776400.1/TraesCS2B03G0858800.1/TraesCS2D03G0716400.1,3,Down,ferric-chelate reductase activity,molecular_function,MF,SN15_vs_Tween
GO:0004047,GO:0004047,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS2A03G1100700.1/TraesCS2B03G1235700.1/TraesCS2D03G1044700.1,3,Down,aminomethyltransferase activity,molecular_function,MF,SN15_vs_Tween
GO:0006223,GO:0006223,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS1A03G0711800.1/TraesCS1B03G0812500.1/TraesCS1D03G0675300.1,3,Down,uracil salvage,biological_process,BP,SN15_vs_Tween
GO:0010239,GO:0010239,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS1A03G0638100.1/TraesCS1B03G0725400.1/TraesCS1D03G0597100.1,3,Down,chloroplast mRNA processing,biological_process,BP,SN15_vs_Tween
GO:0018131,GO:0018131,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS7A03G0916800.1/TraesCS7B03G0760700.1/TraesCS7D03G0879600.1,3,Down,oxazole or thiazole biosynthetic process,biological_process,BP,SN15_vs_Tween
GO:0019904,GO:0019904,3/6228,3/100553,1,16.145311496467567,6.740685294350869,2.3750045519349618e-4,0.0019931768970469564,0.0014307719729875399,TraesCS5A03G1079500.1/TraesCS5B03G1143000.1/TraesCS5D03G1033100.1,3,Down,protein domain specific binding,molecular_function,MF,SN15_vs_Tween
