GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0009501,GO:0009501,3/410,66/100553,0.045454545454545456,11.147782705099779,5.276733644753939,0.0025456870991488524,0.01103131076297836,0.006788498931063607,TraesCS1A03G0361500.5/TraesCS1B03G0450400.4/TraesCS1B03G0450400.5,3,Down,amyloplast,cellular_component,CC,3KO_vs_SN15
GO:2000022,GO:2000022,3/410,67/100553,0.04477611940298507,10.981397888605752,5.229413411981661,0.002657027434339079,0.01126348586295914,0.006931375915667164,TraesCS7B03G0283200.1/TraesCS7B03G0284300.1/TraesCS7D03G0457300.1,3,Down,regulation of jasmonic acid mediated signaling pathway,biological_process,BP,3KO_vs_SN15
GO:0030036,GO:0030036,3/410,78/100553,0.038461538461538464,9.432739212007505,4.767206338257148,0.00408261851528982,0.01688864794268387,0.01039301411857469,TraesCS5A03G0567600.3/TraesCS5A03G0567600.1/TraesCS5A03G0567600.2,3,Down,actin cytoskeleton organization,biological_process,BP,3KO_vs_SN15
GO:0016702,GO:0016702,4/410,158/100553,0.02531645569620253,6.208891633220129,4.192709862471481,0.004157205647429876,0.01688864794268387,0.01039301411857469,TraesCS5B03G0957600.1/TraesCS5D03G0028900.1/TraesCS5D03G0868300.1/TraesCS6B03G0405500.1,4,Down,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",molecular_function,MF,3KO_vs_SN15
GO:0008381,GO:0008381,2/410,26/100553,0.07692307692307693,18.86547842401501,5.829575749274983,0.005052187555477731,0.019703531466363153,0.012125250133146557,TraesCS3A03G0464900.1/TraesCS3A03G0464900.2,2,Down,mechanosensitive monoatomic ion channel activity,molecular_function,MF,3KO_vs_SN15
GO:0016868,GO:0016868,2/410,26/100553,0.07692307692307693,18.86547842401501,5.829575749274983,0.005052187555477731,0.019703531466363153,0.012125250133146557,TraesCS5D03G0263900.1/TraesCS5D03G0263900.2,2,Down,intramolecular phosphotransferase activity,molecular_function,MF,3KO_vs_SN15
GO:0004351,GO:0004351,2/410,28/100553,0.07142857142857142,17.51794425087108,5.593388137462657,0.005844594385449665,0.021917228945436244,0.013487525504883843,TraesCS3B03G0052400.1/TraesCS3B03G0052400.2,2,Down,glutamate decarboxylase activity,molecular_function,MF,3KO_vs_SN15
GO:0006536,GO:0006536,2/410,28/100553,0.07142857142857142,17.51794425087108,5.593388137462657,0.005844594385449665,0.021917228945436244,0.013487525504883843,TraesCS3B03G0052400.1/TraesCS3B03G0052400.2,2,Down,glutamate metabolic process,biological_process,BP,3KO_vs_SN15
GO:0016830,GO:0016830,3/410,106/100553,0.02830188679245283,6.941072250345145,3.915851985070568,0.009522617524569198,0.034429105500915665,0.021187141846717335,TraesCS1A03G0816200.1/TraesCS3B03G0052400.1/TraesCS3B03G0052400.2,3,Down,carbon-carbon lyase activity,molecular_function,MF,3KO_vs_SN15
GO:0019139,GO:0019139,2/410,36/100553,0.05555555555555555,13.625067750677506,4.847772099424114,0.009534213831022799,0.034429105500915665,0.021187141846717335,TraesCS3A03G0238600.1/TraesCS3B03G0305700.1,2,Down,cytokinin dehydrogenase activity,molecular_function,MF,3KO_vs_SN15
GO:0006896,GO:0006896,1/410,3/100553,0.3333333333333333,81.75040650406504,8.949345882255617,0.012182666692443389,0.043193091000481104,0.02658036369260376,TraesCS7A03G0109200.1,1,Down,Golgi to vacuole transport,biological_process,BP,3KO_vs_SN15
GO:0004834,GO:0004834,2/410,42/100553,0.047619047619047616,11.67862950058072,4.429047655735267,0.012822583178846516,0.04465006642634055,0.02747696395467111,TraesCS5B03G1093500.2/TraesCS5B03G1093500.1,2,Down,tryptophan synthase activity,molecular_function,MF,3KO_vs_SN15
GO:0015385,GO:0015385,2/410,43/100553,0.046511627906976744,11.407033465683496,4.367506184629811,0.013412184726821859,0.04588378985491688,0.028236178372256546,TraesCS7A03G0963000.2/TraesCS7A03G0963000.1,2,Down,sodium:proton antiporter activity,molecular_function,MF,3KO_vs_SN15
