GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0046943,carboxylic acid transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016120,carotene biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016117,carotenoid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016116,carotenoid metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0005618,cell wall,cellular_component,CC,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0042546,cell wall biogenesis,biological_process,BP,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0016998,cell wall macromolecule catabolic process,biological_process,BP,Metabolism,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0071277,cellular response to calcium ion,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0071398,cellular response to fatty acid,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0034599,cellular response to oxidative stress,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0030244,cellulose biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016760,cellulose synthase (UDP-forming) activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016759,cellulose synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008061,chitin binding,molecular_function,MF,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0006032,chitin catabolic process,biological_process,BP,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0004568,chitinase activity,molecular_function,MF,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0015995,chlorophyll biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0046408,chlorophyll synthetase activity,molecular_function,MF,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0019750,chloroplast localization,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0010239,chloroplast mRNA processing,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0031969,chloroplast membrane,cellular_component,CC,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0009658,chloroplast organization,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:1901259,chloroplast rRNA processing,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0098807,chloroplast thylakoid membrane protein complex,cellular_component,CC,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0008203,cholesterol metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0050502,cis-zeatin O-beta-D-glucosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0050897,cobalt ion binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015936,coenzyme A metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0070938,contractile ring,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005507,copper ion binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0035434,copper ion transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005375,copper ion transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006825,copper ion transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009439,cyanate metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004112,cyclic-nucleotide phosphodiesterase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006534,cysteine metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004126,cytidine deaminase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009691,cytokinin biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0019139,cytokinin dehydrogenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009690,cytokinin metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0050832,defense response to fungus,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0002229,defense response to oomycetes,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0098542,defense response to other organism,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0051606,detection of stimulus,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0098754,detoxification,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0019877,diaminopimelate biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0051213,dioxygenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0035442,dipeptide transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0071916,dipeptide transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042938,dipeptide transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0051502,diterpene phytoalexin biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016102,diterpenoid biosynthetic process,biological_process,BP,Metabolism,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0003690,double-stranded DNA binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009055,electron transfer activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0022900,electron transport chain,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0045158,"electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity",molecular_function,MF,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0010256,endomembrane system organization,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009368,endopeptidase Clp complex,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004175,endopeptidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0051777,ent-kaurenoic acid monooxygenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009693,ethylene biosynthetic process,biological_process,BP,Metabolism,Defense,NA,Stress Response,Stress Response
GO:0031012,extracellular matrix,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019898,extrinsic component of membrane,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004311,farnesyltranstransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006635,fatty acid beta-oxidation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006633,fatty acid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006631,fatty acid metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0000293,ferric-chelate reductase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009813,flavonoid biosynthetic process,biological_process,BP,Metabolism,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0010227,floral organ abscission,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
